,quote_date,expiration,std_strike,adj_strike,expiration_C,strike,bid_1545_C,ask_1545_C,bid_1545_P,ask_1545_P,date,rate,implied_S_x,distance_to_strike,implied_S_y,vol
0,2018-01-12,2018-02-09,-20.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
1,2018-01-12,2018-02-09,-19.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
2,2018-01-12,2018-02-09,-19.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
3,2018-01-12,2018-02-09,-19.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
4,2018-01-12,2018-02-09,-19.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
5,2018-01-12,2018-02-09,-18.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
6,2018-01-12,2018-02-09,-18.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
7,2018-01-12,2018-02-09,-18.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
8,2018-01-12,2018-02-09,-18.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
9,2018-01-12,2018-02-09,-17.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
10,2018-01-12,2018-02-09,-17.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
11,2018-01-12,2018-02-09,-17.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
12,2018-01-12,2018-02-09,-17.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
13,2018-01-12,2018-02-09,-16.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
14,2018-01-12,2018-02-09,-16.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
15,2018-01-12,2018-02-09,-16.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
16,2018-01-12,2018-02-09,-16.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
17,2018-01-12,2018-02-09,-15.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
18,2018-01-12,2018-02-09,-15.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
19,2018-01-12,2018-02-09,-15.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
20,2018-01-12,2018-02-09,-15.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
21,2018-01-12,2018-02-09,-14.75,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
22,2018-01-12,2018-02-09,-14.5,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
23,2018-01-12,2018-02-09,-14.25,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
24,2018-01-12,2018-02-09,-14.0,-6.768574908932133,2018-02-09,5400.0,1347.0,1368.3,0.05,3.1,2018-01-12,0.0131,6750.221453203228,1350.2214532032276,6751.2330665040345,199.48386054225554
